source	target	value
T01-D	T01-G	0.08
T01-D	T01-H	0.56
T01-D	T01-J	9.62
T01-D	T01-M	0.33
T01-D	T01-N	12.72
T01-D	T03-A	0.01
T01-D	W01-A	6.09
T01-D	S05-G	0.08
T01-D	T01-E	1.66
T01-D	W06-B	0.1
T01-D	T01-C	0.29
T01-D	T01-S	1.96
T01-D	B11-C	0.17
T01-D	D05-H	0.05
T01-D	W02-F	0.06
T01-D	T04-K	0.06
T01-D	T05-L	0.11
T01-D	T01-D	0.1
T01-D	T01-F	0.61
T01-D	T03-K	0.02
T01-D	W01-C	1.14
T01-D	U14-C	0.01
T01-D	V07-F	0.02
T01-D	W02-C	0.08
T01-D	W01-E	0.04
T01-D	T06-A	0.08
T01-D	X12-H	0.04
T01-D	T05-G	0.08
T01-D	W04-W	0.05
T01-D	W05-B	0.04
T01-D	W05-C	0.01
T01-D	W04-X	0.14
T01-D	W04-G	0.01
T01-D	T05-F	0.02
T01-D	S05-D	0.01
T01-D	S05-P	0.01
T01-D	X25-A	0.08
T01-D	S03-E	0.04
T01-D	T03-P	0.01
T01-D	X27-A	0.01
T01-D	D03-K	0.02
T01-D	W06-A	0.02
T01-D	B04-E	0.03
T01-D	B12-K	0.04
T01-D	X15-B	0.04
T01-D	Q42-D	0.01
T01-D	S02-C	0.03
T01-D	S02-J	0.01
T01-D	U14-A	0.02
T01-D	T04-A	0.01
T01-D	X21-A	0.03
T01-D	T05-H	0.05
T01-D	W06-C	0.03
T01-D	W05-D	0.1
T01-D	T01-L	0.11
T01-D	S03-F	0.01
T01-D	U11-C	0.01
T01-D	A11-B	0.01
T01-D	A11-C	0.01
T01-D	A12-E	0.01
T01-D	A12-V	0.01
T01-D	X25-P	0.01
T01-D	T06-D	0.01
T01-D	X27-E	0.01
T01-D	T05-D	0.03
T01-D	U22-G	0.01
T01-D	W02-G	0.01
T01-D	M23-D	0.01
T01-D	X24-D	0.01
T01-D	S02-B	0.02
T01-D	X16-G	0.01
T01-D	X16-H	0.01
T01-D	X21-B	0.01
T01-D	X21-C	0.01
T01-D	T05-K	0.01
T01-D	X22-K	0.02
T01-D	X22-P	0.01
T01-D	X22-W	0.01
T01-D	X22-X	0.03
T01-D	F05-A	0.01
T01-D	W04-V	0.03
T01-D	X16-B	0.03
T01-D	X16-L	0.01
T01-D	S01-D	0.01
T01-D	B04-B	0.01
T01-D	T07-G	0.01
T01-D	W03-A	0.04
T01-D	W04-U	0.01
T01-D	W07-X	0.01
T01-G	T01-D	0.08
T01-G	T01-H	0.05
T01-G	T01-J	0.39
T01-G	T01-M	0.04
T01-G	T01-N	0.59
T01-G	T03-A	0.01
T01-G	T01-F	0.1
T01-G	T01-E	0.07
T01-G	T01-S	0.08
T01-G	W01-C	0.04
T01-G	T01-C	0.03
T01-G	W01-A	0.07
T01-G	W02-K	0.01
T01-G	T01-L	0.03
T01-G	X12-H	0.02
T01-G	W05-B	0.02
T01-G	W05-D	0.02
T01-G	B04-B	0.01
T01-G	B04-E	0.02
T01-G	B11-C	0.05
T01-G	B12-K	0.01
T01-G	D05-H	0.03
T01-H	T01-D	0.56
T01-H	T01-G	0.05
T01-H	T01-H	0.16
T01-H	T01-J	1.7
T01-H	T01-M	0.07
T01-H	T01-N	0.87
T01-H	T03-A	0.02
T01-H	W01-A	0.26
T01-H	T01-F	0.24
T01-H	T01-S	0.26
T01-H	T01-E	0.21
