id	group	weight
T01-H	4	7.14
T03-A	10	6.33
T01-D	1	8.36
T01-N	1	9.7
T01-J	0	9.44
T01-M	5	6.58
T01-G	6	4.0
W01-A	2	8.61
S05-G	3	4.0
T01-F	4	7.41
W06-B	7	4.0
T01-E	2	7.79
W04-E	8	4.0
W04-N	10	6.33
T01-C	3	6.37
Q35-B	10	4.0
T01-S	2	8.31
W01-C	3	7.67
W02-F	8	4.0
D05-H	9	4.0
B11-C	4	4.0
T06-A	3	4.0
W02-B	10	4.0
T05-L	7	6.35
V07-G	10	4.0
V07-F	5	4.0
V07-K	10	4.0
T04-K	5	4.0
W04-H	10	4.0
U14-C	10	4.0
W02-C	6	4.0
W04-X	6	4.0
U14-A	10	4.0
T03-K	10	4.0
A12-E	5	4.0
X25-A	5	4.0
Q49-B	10	4.0
D03-K	10	4.0
T07-C	10	4.0
L03-J	10	4.0
Q49-A	4	4.0
T07-E	10	4.0
W06-A	8	4.0
H01-D	10	4.0
L03-H	10	4.0
S05-D	5	4.0
W04-G	8	4.0
T01-L	6	4.0
S05-B	8	4.0
S03-E	6	4.0
T04-D	6	4.0
Q74-T	10	4.0
T04-L	10	4.0
X12-H	7	4.0
A11-B	7	4.0
Q74-A	10	4.0
Q64-B	10	4.0
W02-K	10	4.0
W01-E	9	4.0
T05-G	6	4.0
W05-C	10	4.0
T05-F	9	4.0
T04-E	10	4.0
T03-P	10	4.0
B04-F	10	4.0
H01-B	10	4.0
A09-D	10	4.0
W05-B	7	4.0
W04-W	7	4.0
T06-D	8	4.0
T05-D	9	4.0
S05-P	10	4.0
X27-A	10	4.0
W03-A	8	4.0
T06-B	4	4.0
B12-K	7	4.0
T04-A	10	4.0
Q34-X	10	4.0
X25-P	6	4.0
S02-B	6	4.0
P31-A	6	4.0
X25-N	10	4.0
X25-W	10	4.0
Q42-D	10	4.0
X21-B	7	4.0
X16-H	10	4.0
A11-C	6	4.0
X15-B	7	4.0
U24-H	10	4.0
A12-D	10	4.0
T05-H	6	4.0
W05-D	8	4.0
M23-D	10	4.0
B04-E	9	4.0
A12-V	5	4.0
S03-F	9	4.0
T05-K	10	4.0
X27-F	10	4.0
X16-G	6	4.0
S01-D	9	4.0
U11-C	10	4.0
X27-X	10	4.0
X24-D	10	4.0
W06-C	7	4.0
S02-J	10	4.0
W02-G	9	4.0
X21-A	7	4.0
X25-F	10	4.0
Q34-C	10	4.0
T05-E	10	4.0
U22-G	10	4.0
X27-E	8	4.0
X12-J	10	4.0
T04-J	10	4.0
P76-C	10	4.0
T05-C	9	4.0
Q31-A	10	4.0
S02-C	10	4.0
X21-C	10	4.0
W04-U	10	4.0
P33-A	10	4.0
X22-E	10	4.0
X15-G	10	4.0
X16-B	7	4.0
Q32-D	10	4.0
X22-W	10	4.0
W07-X	10	4.0
X16-L	10	4.0
A12-P	10	4.0
F05-A	10	4.0
W04-M	10	4.0
B12-M	10	4.0
P33-B	10	4.0
T07-G	10	4.0
S06-G	10	4.0
W04-V	10	4.0
T04-H	10	4.0
X22-P	8	4.0
X22-X	10	4.0
X22-K	8	4.0
B04-B	10	4.0
S05-M	10	4.0
T05-B	10	4.0
T04-N	10	4.0
