id,label,weight,x,y,score
T01-G,T01-G,6.64,64,50,6.64
T01-D,T01-D,8.32,10,81,8.32
T01-H,T01-H,7.54,63,44,7.54
T01-J,T01-J,9.32,57,12,9.32
T01-N,T01-N,9.7,52,1,9.7
T01-M,T01-M,6.72,41,87,6.72
W01-A,W01-A,8.6,79,20,8.6
W06-B,W06-B,6.48,11,63,6.48
T01-E,T01-E,7.95,22,39,7.95
S05-G,S05-G,4.0,35,41,4.0
T01-F,T01-F,7.77,25,15,7.77
W04-E,W04-E,6.75,88,54,6.75
T01-C,T01-C,6.46,58,80,6.46
W04-N,W04-N,6.75,55,91,6.75
W01-C,W01-C,7.63,4,38,7.63
T01-S,T01-S,8.36,34,64,8.36
T06-A,T06-A,6.43,87,88,6.43
D05-H,D05-H,4.0,37,71,4.0
W02-F,W02-F,6.38,47,39,6.38
B11-C,B11-C,6.47,69,70,6.47
T04-K,T04-K,4.0,63,76,4.0
T05-L,T05-L,6.38,80,94,6.38
V07-F,V07-F,4.0,26,94,4.0
W02-C,W02-C,4.0,72,34,4.0
T03-K,T03-K,4.0,94,88,4.0
W04-H,W04-H,4.0,72,32,4.0
A12-E,A12-E,4.0,13,69,4.0
X25-A,X25-A,4.0,24,74,4.0
W04-X,W04-X,4.0,14,31,4.0
S03-E,S03-E,4.0,14,97,4.0
T04-E,T04-E,4.0,52,42,4.0
W04-W,W04-W,4.0,18,90,4.0
A11-B,A11-B,4.0,27,65,4.0
S05-D,S05-D,4.0,52,75,4.0
T05-G,T05-G,4.0,56,22,4.0
D03-K,D03-K,4.0,58,1,4.0
W05-B,W05-B,4.0,76,53,4.0
B12-K,B12-K,4.0,46,38,4.0
W05-C,W05-C,4.0,38,22,4.0
W03-A,W03-A,4.0,57,89,4.0
X12-H,X12-H,4.0,54,8,4.0
