id,label,weight,x,y,score
T01-H,T01-H,7.14,82,27,7.14
T01-D,T01-D,8.36,59,84,8.36
T01-N,T01-N,9.7,96,84,9.7
T01-J,T01-J,9.44,58,99,9.44
T01-M,T01-M,6.58,40,41,6.58
T01-G,T01-G,4.0,94,89,4.0
W01-A,W01-A,8.61,60,1,8.61
S05-G,S05-G,4.0,89,69,4.0
T01-F,T01-F,7.41,68,52,7.41
W06-B,W06-B,4.0,74,100,4.0
T01-E,T01-E,7.79,63,29,7.79
W04-E,W04-E,4.0,14,92,4.0
W04-N,W04-N,6.33,2,95,6.33
T01-C,T01-C,6.37,96,47,6.37
T01-S,T01-S,8.31,94,100,8.31
W01-C,W01-C,7.67,73,67,7.67
W02-F,W02-F,4.0,95,60,4.0
D05-H,D05-H,4.0,90,23,4.0
B11-C,B11-C,4.0,72,18,4.0
T06-A,T06-A,4.0,25,74,4.0
T05-L,T05-L,6.35,73,70,6.35
V07-F,V07-F,4.0,36,91,4.0
T04-K,T04-K,4.0,47,61,4.0
W04-H,W04-H,4.0,29,12,4.0
W02-C,W02-C,4.0,37,83,4.0
W04-X,W04-X,4.0,15,31,4.0
U14-A,U14-A,4.0,63,65,4.0
T03-K,T03-K,4.0,72,92,4.0
A12-E,A12-E,4.0,64,98,4.0
X25-A,X25-A,4.0,90,88,4.0
D03-K,D03-K,4.0,1,35,4.0
W06-A,W06-A,4.0,42,35,4.0
S05-D,S05-D,4.0,28,34,4.0
W04-G,W04-G,4.0,83,76,4.0
T01-L,T01-L,4.0,55,25,4.0
S05-B,S05-B,4.0,56,2,4.0
S03-E,S03-E,4.0,83,66,4.0
T04-D,T04-D,4.0,64,45,4.0
X12-H,X12-H,4.0,37,84,4.0
A11-B,A11-B,4.0,13,75,4.0
W01-E,W01-E,4.0,5,10,4.0
T05-G,T05-G,4.0,61,4,4.0
W05-C,W05-C,4.0,13,46,4.0
T05-F,T05-F,4.0,77,4,4.0
T04-E,T04-E,4.0,44,98,4.0
T03-P,T03-P,4.0,48,77,4.0
A09-D,A09-D,4.0,42,54,4.0
W05-B,W05-B,4.0,90,61,4.0
W04-W,W04-W,4.0,35,34,4.0
T06-D,T06-D,4.0,100,10,4.0
T05-D,T05-D,4.0,22,2,4.0
X27-A,X27-A,4.0,77,81,4.0
W03-A,W03-A,4.0,25,44,4.0
B12-K,B12-K,4.0,56,19,4.0
Q34-X,Q34-X,4.0,24,67,4.0
X25-P,X25-P,4.0,32,65,4.0
S02-B,S02-B,4.0,55,93,4.0
P31-A,P31-A,4.0,95,59,4.0
A11-C,A11-C,4.0,59,82,4.0
X15-B,X15-B,4.0,67,37,4.0
T05-H,T05-H,4.0,16,98,4.0
W05-D,W05-D,4.0,95,52,4.0
B04-E,B04-E,4.0,96,87,4.0
A12-V,A12-V,4.0,66,34,4.0
W06-C,W06-C,4.0,5,47,4.0
W02-G,W02-G,4.0,34,24,4.0
X21-A,X21-A,4.0,52,31,4.0
X25-F,X25-F,4.0,29,74,4.0
Q34-C,Q34-C,4.0,58,31,4.0
X27-E,X27-E,4.0,50,95,4.0
P76-C,P76-C,4.0,57,55,4.0
T05-C,T05-C,4.0,56,92,4.0
Q31-A,Q31-A,4.0,88,97,4.0
S02-C,S02-C,4.0,52,22,4.0
X16-B,X16-B,4.0,11,72,4.0
S06-G,S06-G,4.0,66,89,4.0
W04-V,W04-V,4.0,27,19,4.0
X22-X,X22-X,4.0,34,45,4.0
X22-K,X22-K,4.0,72,64,4.0
B04-B,B04-B,4.0,23,19,4.0
